,source,target
1960,his work hasb been translated in many languages,his work has been translated in many languages
1961,mix kmaster mikee is knouwn for his heavyhitting bass and intricate scratchb routines,mix master mike is known for his heavyhitting bass and intricate scratch routines
1962,guy riding his bike on qa road,guy riding his bike on a road
1963,jthe jujitsu studrents sparred and grappled with each other,the jujitsu students sparred and grappled with each other
1964,it was written by lawrie wyman apnd starred frafnk thaornton and derek francis,it was written by lawrie wyman and starred frank thornton and derek francis
1965,they can mountz females without interference but commonly break off to chase off rivals,they can mount females without interference but commonly break off to chase off rivals
1966,after olivyers arrest marissa attempts reuniting with ryan hed refuses and they remain friends,after olivers arrest marissa attempts reuniting with ryan he refuses and they remain friends
1967,rhodocyclsus sp,rhodocyclus sp
1968,donzngal and feradach,donngal and feradach
1969,most notwably theq tour included pakistani younis ahmed and west indian jojhn schepherd,most notably the tour included pakistani younis ahmed and west indian john shepherd
1970,defensive procedures in the battle zorne were similar but with grheater numbers,defensive procedures in the battle zone were similar but with greater numbers
1971,shanden igs wherse the municipality seat of haninge is located,handen is where the municipality seat of haninge is located
1972,teaching kidsz english with common voice is a winwin situfation,teaching kids english with common voice is a winwin situation
1973,americnan estrogen is british oestrogen,american estrogen is british oestrogen
1974,ya group of elderly women gather faround on a ipark betnch,a group of elderly women gather around on a park bench
1975,this sorit of exercise training hxas threqe basic principles overload specificity and progression,this sort of exercise training has three basic principles overload specificity and progression
1976,the only countries listed ieither stradddle continents or are ond a continent borderw,the only countries listed either straddle continents or are on a continent border
1977,vthe closer the damping pad the shorter the reverb time,the closer the damping pad the shorter the reverb time
1978,i was vsery muuch changed oh vergy very much,i was very much changed oh very very much
1979,she became them wife oaf the philosopher friedrich wilhelm joseph schelling,she became the wife of the philosopher friedrich wilhelm joseph schelling
1980,something terribles happened to qme,something terribles happened to me
1981,ahn elderly oman sits on a green park bench,an elderly man sits on a green park bench
1982,you yellowe giawnt thing of the frost,you yellow giant thing of the frost
1983,also painted with theo beatlemania brush was british pop group duran duran,also painted with the beatlemania brush was british pop group duran duran
1984,older persomn is helping a child on ice skates,older person is helping a child on ice skates
1985,it is a private airpoort pwith a single paved runway,it is a private airport with a single paved runway
1986,the album alvso includes two and new songs its only christmas anad scarsi,the album also includes two and new songs its only christmas and scars
1987,a considerableg amount of it was grassland and rainfall woas plentiful,a considerable amount of it was grassland and rainfall was plentiful
1988,two silhouetites of jogggers as they go unfder la dimly ltit tunnel,two silhouettes of joggers as they go under a dimly lit tunnel
1989,a btaby is looking ast a dryer,a baby is looking at a dryer
1990,he playeid football with bradfordm park avenue,he played football with bradford park avenue
1991,every business smartium class seat is equirpped with video on demand,every business smartium class seat is equipped with video on demand
1992,the family later moved tow saint petersburg,the family later moved to saint petersburg
1993,regondi was born of a german mother and an italian ifather in geneva switzerland,regondi was born of a german mother and an italian father in geneva switzerland
1994,drugs continue to be taken coff the market due to late discovery of hepatotoxicity,drugs continue to be taken off the market due to late discovery of hepatotoxicity
1995,the tongan islands ssit onm the australiaintdia plate just weest ofy tahe tonga trench,the tongan islands sit on the australiaindia plate just west of the tonga trench
